Author,Repo Name,Description,Programming Language,Stars,Fork,Top Contributors,Stars Today
harvard-edge,cs249r_book,Introduction to Machine Learning Systems,TeX,1734,208,"profvjreddi, github-actions, jasonjabbour, hzeljko, uchendui",5
lib-pku,libpku,贵校课程资料民间整理,TeX,30590,8244,"librarian-pku, littlesulley, SyzygyYuan, colizz, brenner8023",3
chaofengc,Awesome-Image-Quality-Assessment,A comprehensive collection of IQA papers,TeX,1181,74,"chaofengc, LorenzoAgnolucci, Mer9ury, nhshin-mcl, chencn2020",3
exacity,deeplearningbook-chinese,Deep Learning Book Chinese Translation,TeX,36346,9141,"SwordYork, liber145, futianfan, KevinLee1110, zhoupeng",4
vdumoulin,conv_arithmetic,A technical report on convolution arithmetic in the context of deep learning,TeX,14306,2290,"vdumoulin, fvisin",0
terryum,awesome-deep-learning-papers,The most cited deep learning papers,TeX,25815,4469,"terryum, miguelballesteros, ricoz, sunshinemyson, flukeskywalker",2
BITNP,BIThesis,📖 北京理工大学非官方 LaTeX 模板集合，包含本科、研究生毕业设计模板及更多。🎉 （更多文档请访问 wiki 和 release 中的手册）,TeX,828,106,"fky2015, YDX-2147483647, spencerwooo, Lancern, Silverster98",1
matze,mtheme,A modern LaTeX Beamer theme,TeX,6540,850,"matze, rchurchley, benjamin-weiss, tmgriffiths, awalterschulze",0
hagezi,dns-blocklists,DNS-Blocklists: For a better internet - keep the internet clean!,Text,10735,340,"hagezi, vhpcdpgl, xRuffKez, olivertzeng, celenityy",24
apache,parquet-format,Apache Parquet Format,Thrift,1933,439,"nongli, julienledem, rdblue, aniket486, isnotinvain",3
nvim-treesitter,nvim-treesitter,Nvim Treesitter configurations and abstraction layer,Tree-sitter Query,11781,966,"web-flow, theHamsta, nvim-treesitter-bot, clason, amaanq",10
nvim-treesitter,nvim-treesitter-textobjects,,Tree-sitter Query,2360,212,"theHamsta, kiyoon, stsewd, ribru17, AckslD",3
cisagov,cset,Cybersecurity Evaluation Tool,TSQL,1551,274,"randywoods, Marcus-Goectau, jekuipers, inlguy, mattrwins",2
microsoft,fhir-server,A service that implements the FHIR standard,TSQL,1258,532,"dependabot, brendankowitz, LTA-Thinking, MicrosoftHealthService, SergeyGaluzo",0
amachanic,sp_whoisactive,sp_whoisactive,TSQL,1228,295,"mfuller333, amachanic, erikdarlingdata, ktaranov, aharpervc",1
govCMS,GovCMS,"Current Drupal release of the main GovCMS distribution, with releases mirrored at https://www.drupal.org/project/govcms",Twig,158,45,"pandaskii, ruwanl, dependabot, drupal-spider, Tara-Wij",0
SallaApp,theme-raed,A wide range of features to support your business...,Twig,35,82,"ashrafreda, jalmatari, adelelshafey, salkhwlani, Ahmed-S-Abduallah",0
hydralauncher,hydra,Hydra is a game launcher with its own embedded bittorrent client,TypeScript,12487,3521,"zamitto, thegrannychaseroperation, hydralauncher, Hachi-R, fzanutto",112
