Author,Repo Name,Description,Programming Language,Stars,Fork,Top Contributors,Stars Today
sampotts,plyr,"A simple HTML5, YouTube and Vimeo player",JavaScript,28578,3068,"sampotts, friday, dependabot, gehaktmolen, calvintam236",7
wekan,wekan,"The Open Source kanban (built with Meteor). Keep variable/table/field names camelCase. For translations, only add Pull Request changes to wekan/i18n/en.i18n.json , other translations are done at https://app.transifex.com/wekan/wekan only.",JavaScript,20047,2890,"xet7, mfilser, jrsupplee, andresmanelli, blaggacao",3
f,awesome-chatgpt-prompts,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.,JavaScript,123371,16518,"f, iuzn, fengkiej, JonathanDn, developer-acc",70
academind,react-complete-guide-course-resources,"React - The Complete Guide Course Resources (Code, Attachments, Slides)",JavaScript,2983,2322,"maxschwarzmueller, unsivilaudio",5
UseInterstellar,Interstellar,One of the most popular modern web proxies with blazing fast speeds and a variety of games.,JavaScript,1457,17832,"xbubbo, 3kh0, airtag8892, joetheshmoe, IncognitoTGT",3
PranshulGG,WeatherMaster,A Weather app for android 🌦🌞☔,JavaScript,1137,36,"PranshulGG, friendly-user-t, IzzySoft, er2de2",10
sudheerj,javascript-interview-questions,List of 1000 JavaScript Interview Questions,JavaScript,25481,7197,"sudheerj, Benappiahpoku, github-actions, subhoghoshX, ckpinguin",7
marktext,marktext,"📝A simple and elegant markdown editor, available for Linux, macOS and Windows.",JavaScript,49396,3623,"Jocs, fxha, notAlaanor, mdogadailo, MrHeer",18
mdn,browser-compat-data,This repository contains compatibility data for Web technologies as displayed on MDN,JSON,5207,2121,"queengooborg, Elchi3, dependabot, foolip, ddbeck",4
upptime,upptime,⬆️ GitHub Actions uptime monitor & status page by @AnandChowdhary,JSON,16054,943,"upptime-bot, pabio-escobar, AnandChowdhary, semantic-release-bot, github-actions",6
argoproj,argocd-example-apps,Example Apps to Demonstrate Argo CD,Jsonnet,1746,8009,"jessesuen, alexec, alexmt, limnick, farcaller",0
prometheus-operator,kube-prometheus,Use Prometheus to monitor Kubernetes and applications running on Kubernetes,Jsonnet,7105,1997,"brancz, paulfantom, metalmatze, prom-op-bot, lilic",2
kubernetes-monitoring,kubernetes-mixin,A set of Grafana dashboards and Prometheus alerts for Kubernetes.,Jsonnet,2215,607,"brancz, metalmatze, povilasv, paulfantom, tomwilkie",0
JuliaRegistries,General,The official registry of general Julia packages,Julia,626,487,"JuliaRegistrator, JuliaHubRegistrator, jlbuild, StefanKarpinski, julpro",0
CliMA,ClimaLand.jl,Clima's Land Model,Julia,44,10,"kmdeck, juliasloan25, Sbozzolo, bors, AlexisRenchon",0
JuliaSmoothOptimizers,JSOSuite.jl,One stop solutions for all things optimization,Julia,22,8,"tmigot, RenanOD, abelsiqueira, github-actions, JSOBot",0
JuliaInterop,RCall.jl,Call R from Julia,Julia,326,60,"randy3k, simonbyrne, dmbates, palday, ViralBShah",0
anthropics,courses,Anthropic's educational courses,Jupyter Notebook,10472,952,"Colt, alexalbertt, rainlee, elie, maggie-vo",383
microsoft,generative-ai-for-beginners,"21 Lessons, Get Started Building with Generative AI 🔗 https://microsoft.github.io/generative-ai-for-beginners/",Jupyter Notebook,79099,41032,"koreyspace, john0isaac, yoshioterada, leestott, glaucia86",139
alirezadir,Machine-Learning-Interviews,This repo is meant to serve as a guide for Machine Learning/AI technical interviews.,Jupyter Notebook,6121,1086,"alirezadir, mehdizade, erjanmx, Anirudh257, aroraayush",31
anthropics,anthropic-cookbook,A collection of notebooks/recipes showcasing some fun and effective ways of using Claude.,Jupyter Notebook,11875,1390,"alexalbertt, saflamini, maheshmurag, zack-anthropic, GarvanD",22
SakanaAI,AI-Scientist,The AI Scientist: Towards Fully Automated Open-Ended Scientific Discovery 🧑‍🔬,Jupyter Notebook,10818,1569,"conglu1997, luchris429, romgenie, t46, RobertTLange",21
rlabbe,Kalman-and-Bayesian-Filters-in-Python,"Kalman Filter book using Jupyter Notebook. Focuses on building intuition and experience, not formal proofs. Includes Kalman filters,extended Kalman filters, unscented Kalman filters, particle filters, and more. All exercises include solutions.",Jupyter Notebook,17703,4313,"rlabbe, ernstklrb, Gluttton, slayoo, PebetoUofC",9
google-research,google-research,Google Research,Jupyter Notebook,35393,8073,"joel-shor, rybakov, agutkin, vratnakar",10
topoteretes,cognee,Memory for AI Agents in 5 lines of code,Jupyter Notebook,2011,180,"Vasilije1990, dexters1, borisarzentar, hajdul88, 0xideas",7
vllm-project,aibrix,Cost-efficient and pluggable Infrastructure components for GenAI inference,Jupyter Notebook,3475,331,"Jeffwan, varungup90, brosoul, happyandslow, nwangfw",5
aburkov,theLMbook,This is the official repository for The Hundred-Page Language Models Book by Andriy Burkov,Jupyter Notebook,1456,229,"aburkov, carlos-aguayo",6
datawhalechina,fun-rec,推荐系统入门教程，在线阅读地址：https://datawhalechina.github.io/fun-rec/,Jupyter Notebook,5611,905,"ruyiluo, kenken-xr, swallown1, zhongqiangwu960812, wangych6",10
aws-samples,amazon-bedrock-samples,This repository contains examples for customers to get started using the Amazon Bedrock Service. This contains examples for all available foundational models,Jupyter Notebook,987,438,"kyleblocksom, mttanke, rsgrewal-aws, rppth, isingh09",2
google-gemini,gemma-cookbook,A collection of guides and examples for the Gemma open models from Google.,Jupyter Notebook,1377,237,"bebechien, windmaple, kinarr, NSTiwari, dev-nid",6
NVIDIA,Cosmos,New repo collection for NVIDIA Cosmos: https://github.com/nvidia-cosmos,Jupyter Notebook,7929,510,"mingyuliutw, ielh1, chenhsuanlin",4
vandijklab,cell2sentence,Cell2Sentence: Teaching Large Language Models the Language of Biology,Jupyter Notebook,117,15,"SyedA5688, aakashdp6548",9
jackfrued,Python-100-Days,Python - 100天从新手到大师,Jupyter Notebook,164470,53531,"jackfrued, MathDance, geekya215, jankeromnes, royaso",74
microsoft,ai-agents-for-beginners,10 Lessons to Get Started Building AI Agents,Jupyter Notebook,16627,4140,"koreyspace, leestott, ShivamGoyal03, jt-216, aprilspeight",234
anthropics,prompt-eng-interactive-tutorial,Anthropic's Interactive Prompt Engineering Tutorial,Jupyter Notebook,2750,324,"CloudsOfChange, maggie-vo, jawhnycooke",18
huggingface,diffusion-models-class,Materials for the Hugging Face Diffusion Models Course,Jupyter Notebook,3976,442,"johnowhitaker, lewtun, mishig25, tolgacangoz, dhakalnirajan",3
pop-os,cosmic-epoch,Next generation Cosmic desktop environment,Just,3889,100,"Drakulix, jackpot51, jokeyrhyme, wash2, WatchMkr",3
ethereum-optimism,specs,OP Stack Specifications,Just,123,137,"tynes, protolambda, 0xfuturistic, trianglesphere, clabby",0
secureblue,secureblue,Hardened Fedora Atomic and Fedora CoreOS images,Just,498,47,"RoyalOughtness, spaceoden, Rubiginosa, RKNF404, TommyTran732",2
ethereum-lists,chains,provides metadata for chains,Kotlin,9615,7185,"ligi, dependabot, pedrouid, FrederikBolding, 3eph1r0th",4
JetBrains,kotlin,The Kotlin Programming Language.,Kotlin,50396,5895,"udalov, mglukhikh, demiurg906, goodwinnk, dzharkov",13
android,compose-samples,Official Jetpack Compose samples.,Kotlin,21343,5038,"riggaroo, JoseAlcerreca, JolandaVerhoef, nickbutcher, arriolac",11
getsentry,sentry-java,"A Sentry SDK for Java, Android and other JVM languages.",Kotlin,1209,452,"marandaneto, adinauer, getsentry-bot, maciejwalkowiak, romtsn",1
facebook,facebook-android-sdk,Used to integrate Android apps with Facebook Platform.,Kotlin,6217,3668,"jingping2015, Mxiim, KylinChang, jawwad, clang13",0
android,camera-samples,Multiple samples showing the best practices in camera APIs on Android.,Kotlin,5185,2387,"owahltinez, donovanfm, jsaund, ggfan, kokoro-team",1
MM2-0,Kvaesitso,A search-focused Android launcher,Kotlin,2988,113,"MM2-0, mapi68, weblate, summoner001, bartlibert",4
amir1376,ab-download-manager,A Download Manager that speeds up your downloads,Kotlin,7140,395,"amir1376, Amirroid, dagimg-dot, peanut996, ehsannarmani",35
JetBrains,intellij-platform-gradle-plugin,Gradle plugin for building plugins for JetBrains IDEs,Kotlin,1474,277,"hsz, zolotov, dependabot, YannCebron, aSemy",1
mpv-android,mpv-android,#mpv-android @ libera.chat,Kotlin,2392,306,"sfan5, jeeb, xyzz, tmm1, syphyr",1
InsertKoinIO,koin,Koin - a pragmatic lightweight dependency injection framework for Kotlin & Kotlin Multiplatform,Kotlin,9378,742,"arnaudgiuliani, pedrofsn, marcellogalhardo, hoc081098, GrzegorzBobryk",1
YiiGuxing,TranslationPlugin,Translation plugin for IntelliJ-based IDEs/Android Studio.,Kotlin,11584,812,"YiiGuxing, dependabot, niktrop, actions-user, naoyukik",3
home-assistant,android,Home Assistant Companion for Android,Kotlin,2650,711,"dshokouhi, dependabot, jpelgrom, JBassett, TimoPtr",2
zhanghai,MaterialFiles,Material Design file manager for Android,Kotlin,6764,467,"zhanghai, david082321",4
Mygod,VPNHotspot,Share your VPN connection over hotspot or repeater! (root required),Kotlin,4176,397,"Mygod, bluehomewu, zacharee, Kaitul, ztc1997",7
MatsuriDayo,NekoBoxForAndroid,NekoBox for Android / sing-box / universal proxy toolchain for Android,Kotlin,13852,1153,"arm64v8a, purofle, Misaka-blog, xchacha20-poly1305, turikhay",17
leanprover,lean4,Lean 4 programming language and theorem prover,Lean,5351,565,"leodemoura, Kha, kim-em, gebner, tydeu",6
leanprover-community,mathlib4,The math library of Lean 4,Lean,1885,404,"urkud, kim-em, YaelDillies, eric-wieser, Ruben-VandeVelde",1
leanprover-community,batteries,"The ""batteries included"" extended library for the Lean programming language and theorem prover",Lean,293,118,"digama0, kim-em, fgdorais, joehendrix, eric-wieser",0
leanprover-community,ProofWidgets4,Helper toolkit for creating your own Lean 4 UserWidgets,Lean,129,34,"Vtec234, kim-em, EdAyers, lecopivo, VladaSedlacek",0
leanprover-community,aesop,White-box automation for Lean 4,Lean,260,31,"JLimperg, kim-em, astahfrom, Kha, kmill",0
Remix-Design,RemixIcon,Open source neutral style icon system,Less,7302,516,"xiaochunjimmy, wendygaoyuan, 0xflotus, binary-koan, coreyward",5
Tencent,weui-wxss,"A UI library by WeChat official design team, includes the most useful widgets/modules.",Less,15193,5252,"uxsi, BearJ, progrape, codeif, fuchao2012",1
Shopify,dawn,"Shopify's first source available reference theme, with Online Store 2.0 features and performance built-in.",Liquid,2681,3756,"translation-platform, ludoboludo, sofiamatulis, kmeleta, tyleralsbury",0
TrellisCommerce,shopify-tailwind-starter-base,Shopify Dawn theme with Tailwind CSS & Prettier integrations,Liquid,314,407,"translation-platform, ludoboludo, kmeleta, sofiamatulis, LucasLacerdaUX",0
llvm,llvm-project,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.,LLVM,32057,13297,"lattner, topperc, RKSimon, arsenm, espindola",14
KhronosGroup,SPIRV-LLVM-Translator,A tool and a library for bi-directional translation between SPIR-V and LLVM IR,LLVM,539,233,"svenvh, AlexeySotkin, MrSidims, yxsamliu, AlexeySachkov",0
arichornlover,YouTubeRebornPlus,LillieH1000’s YouTube Reborn but with even more features!,Logos,565,567,"arichornlover, qnblackcat, actions-user, dayanch96, SKEIDs",0
dayanch96,YTLite,A flexible enhancer for YouTube on iOS,Logos,1260,3154,"dayanch96, xiangfeidexiaohuo, mumuisdog, Balackburn, Deci8BelioS",11
Kong,kong,🦍 The Cloud-Native API Gateway and AI Gateway.,Lua,40665,4914,"thibaultcha, bungle, subnetmarco, hishamhm, chronolaw",28
CopilotC-Nvim,CopilotChat.nvim,Chat with GitHub Copilot in Neovim,Lua,2650,121,"deathbeam, github-actions, jellydn, pre-commit-ci, gptlang",12
nvim-telescope,telescope.nvim,"Find, Filter, Preview, Pick. All lua, all the time.",Lua,17339,875,"Conni2461, tjdevries, jamestrew, rockerBOO, fdschmidt93",8
yetone,avante.nvim,Use your Neovim like using Cursor AI IDE!,Lua,12942,543,"yetone, aarnphm, yuchanns, brewinski, b0o",34
LazyVim,LazyVim,Neovim config for the lazy,Lua,20219,1428,"folke, github-actions, dpetka2001, amaanq, rubiin",14
stevearc,oil.nvim,Neovim file explorer: edit your filesystem like a buffer,Lua,5015,152,"stevearc, github-actions, NikolaM-Dev, mehalter, Foo-x",9
nvim-neo-tree,neo-tree.nvim,Neovim plugin to manage the file system and other tree like structures.,Lua,4469,251,"cseickel, pynappo, pysan3, nhat-vo, MunifTanjim",7
echasnovski,mini.nvim,Library of 40+ independent Lua modules improving overall Neovim (version 0.8 and higher) experience with minimal effort,Lua,7078,233,"echasnovski, wroyca, dundargoc, gpanders, annenpolka",12
nvimdev,dashboard-nvim,vim dashboard,Lua,2574,193,"glepnir, github-actions, polirritmico, ssxwcz, AckslD",1
folke,snacks.nvim,🍿 A collection of QoL plugins for Neovim,Lua,4728,220,"folke, github-actions, dpetka2001, chrisgrieser, minusfive",7
ThePrimeagen,harpoon,,Lua,7932,430,"ThePrimeagen, rudotriton, brandoncc, asbjornhaland, pranavrao145",7
neovim,nvim-lspconfig,Quickstart configs for Nvim LSP,Lua,11723,2177,"mjlbach, github-actions, h-michael, glepnir, justinmk",11
EdenEast,nightfox.nvim,"🦊A highly customizable theme for vim and neovim with support for lsp, treesitter and a variety of plugins.",Lua,3478,160,"EdenEast, github-actions, rewhile, mrtnvgr, Swoogan",6
fredrikaverpil,neotest-golang,Reliable Neotest adapter for running Go tests in Neovim.,Lua,189,29,"fredrikaverpil, github-actions, dependabot, mrcjkb, stroiman",2
Civitasv,cmake-tools.nvim,CMake integration in Neovim,Lua,444,79,"Civitasv, toolcreator, lceWolf, hfn92, rohit-kumar-j",3
ntop,ntopng,Web-based Traffic and Security Network Traffic Monitoring,Lua,6647,685,"lucaderi, cardigliano, MatteoBiscosi, emanuele-f, gabryon99",3
b0o,SchemaStore.nvim,🛍 JSON schemas for Neovim,Lua,829,18,"b0o, williamboman, Zachiah, davidosomething, Makaze",2
3rd,image.nvim,🖼️ Bringing images to Neovim.,Lua,1469,65,"3rd, benlubas, UnaTried, b0o, jmbuhr",0
ActualMasterOogway,Fluent-Renewed,"An edited version of Fluent, a Roblox UI Library. This fixes various Bugs that were in the original Version and also gets updated frequently with new features.",Luau,20,33,"ActualMasterOogway, Paficent, notpoiu, mstudio45, 0vma",1
open-telemetry,opentelemetry-proto,OpenTelemetry protocol (OTLP) specification and Protobuf definitions,Makefile,657,281,"tigrannajaryan, bogdandrutu, estolfo, jmacd, arminru",0
golang-standards,project-layout,Standard Go Project Layout,Makefile,52014,5304,"kcq, arialdomartini, rostis232, xis, n4x2",27
dbt-labs,dbt-utils,Utility functions for dbt projects.,Makefile,1510,521,"drewbanin, joellabes, clrcrl, dbeatty10, jtcohen6",1
0xType,0xProto,A programming font focused on source code legibility,Makefile,2017,19,"matype, duganchen, moyogo, dependabot",9
zhimin-dev,iptv-checker,"IPTV checker tool for Docker && Desktop && CMD, check your playlist is available",Makefile,1501,145,"zmisgod, deepsourcebot",9
eu-digital-identity-wallet,eudi-doc-architecture-and-reference-framework,The European Digital Identity Wallet,Makefile,504,71,"skounis, github-actions, paolo-de-rosa, joelposti, phin10",0
openwrt,packages,Community maintained packages for OpenWrt. Documentation for submitting pull requests is in CONTRIBUTING.md,Makefile,4174,3624,"neheb, hnyman, dangowrt, jefferyto, thess",1
uber-go,guide,The Uber Go Style Guide.,Makefile,16426,1747,"abhinav, mway, TangoEnSkai, prashantv, xxjwxc",2
open-telemetry,opentelemetry-specification,Specifications for OpenTelemetry,Makefile,3885,912,"arminru, tigrannajaryan, bogdandrutu, carlosalberto, reyang",1
jobbole,awesome-python-cn,Python资源大全中文版，包括：Web框架、网络爬虫、模板引擎、数据库、数据可视化、图片处理等，由「开源前哨」和「Python开发者」微信公号团队维护更新。,Makefile,29328,7972,"tangyouhua, huanglimin, chenjiandongx, hanxiaomax, knktc",8
dbt-labs,dbt-codegen,Macros that generate dbt code,Makefile,554,119,"dbeatty10, clrcrl, joellabes, graciegoheen, davesgonechina",0
upbound,build,Upbound build and CI scripts,Makefile,67,69,"bassam, turkenh, negz, hasheddan, muvaf",0
open-telemetry,opentelemetry-proto-go,Generated code for OpenTelemetry protobuf data model,Makefile,34,37,"renovate, dependabot, MrAlias, MadVikingGod, pellared",0
raspberrypi,noobs,NOOBS (New Out Of Box Software) - An easy Operating System install manager for the Raspberry Pi,Makefile,2214,435,"lurch, XECDesign, Rob-Bishop, maxnet, bovirus",0
LibreELEC,LibreELEC.tv,Just enough OS for KODI,Makefile,2411,1146,"sraue, heitbaum, MilhouseVH, CvH, stefansaraev",2
deepseek-ai,DeepSeek-LLM,DeepSeek LLM: Let there be answers,Makefile,6324,981,"DeepSeekPH, stack-heap-overflow, zdaxie, Freja71122, luofuli",5
container-storage-interface,spec,Container Storage Interface (CSI) Specification.,Makefile,1392,373,"saad-ali, jieyu, xing-yang, akutz, gnufied",0
